generation, input, state, input_feasible, input_infeasible, state_feasible, state_infeasible
360,7920,7830,7920,1210,7830,720
50,1210,680,1120,290,680,120
60,1120,570,1070,270,570,220
60,1070,460,840,240,460,1030
60,840,510,920,680,510,1070
60,920,660,780,170,660,350
60,780,610,690,590,610,640
50,690,1640,750,190,1640,610
50,750,520,410,160,520,150
60,410,340,790,160,340,150
60,790,460,740,830,460,110
60,740,520,540,730,520,140
60,540,370,620,250,370,120
60,620,460,590,170,460,370
60,590,440,760,170,440,120
50,760,410,710,140,410,120
60,710,450,710,500,450,120
60,710,360,650,230,360,400
50,290,330,730,1000,330,850
50,270,720,480,220,450,150
60,650,450,460,420,430,150
60,730,430,430,370,390,1080
60,480,390,660,250,390,350
60,240,390,680,1050,300,
60,680,300,390,690,300,
60,460,300,540,250,460,
60,170,460,450,890,470,
60,430,470,440,850,920,
60,660,920,410,250,420,
60,680,420,710,240,490,
60,390,490,680,220,310,
60,540,310,670,300,340,
50,590,120,590,230,520,
60,450,340,540,260,360,
60,440,520,620,780,310,
60,410,360,460,230,360,
60,710,310,690,210,460,
60,190,360,550,230,340,
60,680,460,500,240,380,
60,160,340,650,160,310,
60,670,380,480,330,450,
60,160,310,700,190,360,
60,590,450,390,300,380,
60,540,360,360,680,380,
60,830,380,560,300,320,
60,620,380,390,280,320,
60,730,320,870,410,430,
50,460,320,590,630,330,
60,690,430,620,680,360,
60,250,330,570,620,310,
60,170,360,480,300,300,
60,550,310,570,390,390,
60,500,300,610,670,310,
60,650,390,780,170,320,
60,480,310,520,160,440,
50,170,320,590,300,460,
60,700,440,490,170,1690,
60,390,460,520,620,390,
60,360,1690,470,620,340,
50,560,390,590,150,420,
60,140,340,860,450,360,
60,500,420,690,170,500,
60,390,360,630,170,450,
60,870,500,550,280,540,
80,230,450,470,160,570,
90,1000,540,700,160,600,
100,590,570,710,820,630,
90,620,600,460,160,640,
80,570,630,470,160,510,
100,480,640,570,640,410,
80,570,510,530,690,420,
70,610,410,1030,150,490,
70,780,420,740,170,460,
100,220,490,510,140,530,
80,520,460,580,170,600,
140,590,530,580,310,440,
80,490,600,710,160,550,
100,520,440,670,410,520,
110,470,550,510,170,460,
70,590,520,550,170,490,
100,420,460,640,170,500,
80,860,490,660,160,490,
80,690,500,480,320,440,
80,630,490,540,620,530,
90,370,440,560,680,440,
80,550,530,760,170,450,
80,470,440,610,160,1410,
80,700,450,630,660,430,
80,710,1410,670,160,540,
70,460,430,680,690,580,
90,470,540,650,160,1030,
80,570,580,690,270,480,
80,530,1030,810,420,500,
80,1030,480,650,170,580,
80,250,500,620,300,580,
80,740,580,480,580,660,
80,510,580,570,150,550,
80,580,660,830,160,470,
90,580,550,550,160,580,
80,710,470,570,150,740,
90,670,580,520,280,590,
90,510,740,661,310,450,
80,550,590,550,160,460,
70,1050,450,540,300,460,
90,640,460,640,150,400,
90,660,460,590,280,540,
70,690,400,520,160,1240,
80,480,540,600,170,500,
70,540,1240,520,170,440,
90,250,500,570,170,570,
70,890,440,630,170,440,
80,850,570,560,700,490,
70,560,440,510,410,460,
100,760,490,640,420,500,
90,250,460,510,280,480,
110,610,500,730,640,440,
80,630,480,720,160,420,
80,670,440,550,160,510,
80,240,420,570,160,450,
70,680,510,580,680,520,
80,220,450,480,170,540,
80,650,520,450,140,510,
70,300,540,450,160,470,
120,230,510,410,150,530,
110,690,470,430,150,600,
100,260,530,670,140,620,
80,810,600,440,740,750,
100,650,620,650,390,450,
80,620,750,410,400,530,
80,480,450,470,280,840,
80,570,530,530,160,480,
120,830,840,400,300,500,
80,550,480,410,640,440,
80,570,500,390,640,620,
80,520,440,370,280,520,
100,661,620,430,140,630,
90,780,520,510,290,550,
100,230,630,520,150,450,
80,550,550,520,270,590,
90,540,450,490,170,430,
120,640,590,850,280,430,
80,590,430,350,150,500,
80,210,430,370,400,560,
80,230,500,510,150,440,
80,520,560,410,300,510,
80,600,440,370,180,530,
90,520,510,570,620,490,
100,570,530,340,670,440,
80,630,490,470,160,470,
80,240,440,390,620,510,
90,560,470,380,420,650,
130,510,510,460,150,610,
100,640,650,400,160,1190,
90,510,610,590,300,400,
150,730,220,440,160,370,
80,720,1190,410,160,370,
70,550,400,380,160,410,
60,570,370,400,160,340,
60,580,1030,460,280,340,
60,480,370,440,280,340,
50,160,410,390,620,310,
60,450,340,420,310,340,
60,450,340,500,160,320,
