generation, input, state, input_feasible, input_infeasible, state_feasible, state_infeasible
2130,25629,20500,25629,4333,20500,1592
315,4333,2240,3796,963,2240,426
296,3796,7037,2963,852,7037,1686
315,2963,2111,2223,815,2111,2463
315,2223,1704,2259,2760,1704,3556
315,2259,1611,2722,667,1611,612
315,2722,1723,2333,1926,1723,444
315,2333,1556,1685,685,1556,1667
315,1685,3092,1963,667,3092,2722
315,1963,2111,1852,648,2111,407
315,1852,1537,1870,3149,1537,519
296,1870,1482,1796,2722,1482,7056
297,1796,1481,1815,1112,1481,500
314,1815,1593,2055,704,1593,519
315,2055,2741,2592,648,2741,1556
296,2592,1463,2185,722,1463,6685
315,2185,1537,1611,1389,1537,2389
315,1611,1907,2204,667,1907,1611
314,963,1815,2334,2796,1815,612
315,852,1592,1741,685,2074,3555
296,2204,2074,2092,1259,1481,
315,2334,1481,2075,1204,1371,
315,1741,1371,2167,667,1444,
315,815,1444,2093,2926,1444,
315,2760,1444,1444,1963,1463,
296,2092,1463,2148,630,1852,
314,667,1852,1666,2574,1741,
314,2075,1741,1481,2630,1778,
315,2167,1778,1612,649,1463,
297,2093,1463,2704,667,1833,
296,1444,1833,2407,648,1592,
315,2148,1592,2111,759,1741,
296,1926,426,1925,666,1981,
315,1666,1741,1834,648,1796,
315,1481,1981,1963,2075,1426,
315,1612,1796,1889,648,1463,
314,2704,1426,2463,648,1796,
314,685,1463,2796,667,1722,
315,2407,1796,2259,649,1796,
314,667,1722,2204,667,1462,
314,2111,1796,2111,1148,2167,
315,648,1462,2482,648,1741,
315,1925,2167,1722,1130,1592,
315,1834,1741,1462,2741,1851,
296,3149,1592,1908,1148,1463,
315,1963,1851,1482,1167,1648,
315,2722,1463,1759,1352,1741,
296,1889,1648,1796,2611,2074,
315,2463,1741,2093,2556,26536,
296,1112,2074,1666,2593,1778,
315,704,26536,1630,1167,1426,
315,2796,1778,1611,1315,6278,
297,2259,1426,1852,2500,1574,
296,2204,6278,2092,666,1630,
296,2111,1574,1574,630,1612,
296,648,1630,1852,1166,1648,
315,2482,1612,1481,629,2722,
315,1722,1648,1444,2537,1778,
296,1462,2722,1408,2445,1630,
315,1908,1778,1907,648,1463,
315,722,1630,2666,1648,1778,
315,1389,1463,1741,629,1463,
315,1482,1778,2037,611,1629,
315,1759,1463,1760,1037,1444,
315,667,1629,1462,611,1444,
315,2796,1444,2148,648,1463,
314,1796,1444,1926,2981,1445,
315,2093,1463,1463,667,2000,
296,1666,1445,1463,685,1759,
314,1630,2000,1519,2500,1426,
296,1611,1759,1722,2611,1407,
314,1852,1426,2259,685,1814,
296,2092,1407,1852,611,1482,
315,685,1814,1685,630,1444,
296,1574,1482,2092,667,1703,
314,1852,1444,1777,1222,1926,
315,1481,1703,2111,685,1667,
314,1444,1926,1666,1685,1685,
315,1408,1667,1463,685,1371,
314,1907,1685,1556,649,1667,
296,1259,1371,1963,629,1426,
315,2666,1667,1834,630,1463,
315,1741,1426,1463,1314,1463,
315,2037,1463,1612,2463,1370,
297,1204,1463,1703,2537,1556,
314,1760,1370,2166,648,1463,
315,1462,1556,1778,648,1444,
315,2148,1463,1574,2444,1685,
315,1926,1686,1871,704,1426,
315,1463,1444,1852,2926,3518,
315,1463,1685,1926,630,1426,
296,1519,1426,1963,1167,1445,
315,1722,3518,2056,1686,1797,
315,2259,1426,1963,667,1648,
315,667,1445,1611,1185,1648,
314,1852,1797,1445,2482,1760,
315,1685,1648,1815,667,1444,
314,2092,1648,2185,685,1649,
315,1777,1760,1908,611,1425,
315,2111,1444,2019,629,1667,
296,1666,1649,1537,1166,1445,
315,1463,1425,1870,1167,1425,
296,1556,1667,1463,667,1426,
296,2926,1445,1481,1185,1796,
296,1963,1425,1760,648,1425,
315,1834,1426,1814,1185,3778,
315,1963,1796,1500,611,1667,
296,1463,1425,1851,686,1445,
314,1612,3778,1537,666,1426,
297,630,1667,1944,648,1426,
315,2574,1445,1648,666,1963,
315,2630,1426,1425,2648,1759,
315,1703,1426,1537,1722,1445,
296,2166,1963,1704,1722,1685,
314,649,1759,1444,1149,1463,
296,1778,1445,1796,2463,1407,
315,1574,1685,2037,629,1666,
297,1871,1463,1851,629,1649,
315,667,1407,1759,648,1778,
315,1852,1666,1944,2593,1630,
315,648,1649,1944,667,1444,
315,1926,1778,1648,667,1649,
315,759,1630,1778,648,1778,
315,666,1444,1463,648,1574,
315,1963,1649,1741,611,1388,
315,648,1778,2240,611,1463,
296,2056,1574,2018,2574,1426,
297,1963,1388,2241,1611,1426,
296,1611,1463,1481,1611,1648,
315,1445,1426,1907,1315,1981,
314,1815,1426,1796,630,1611,
315,2185,1648,1500,1148,1574,
315,1908,1981,1648,2556,1462,
315,2019,1611,1537,2648,1500,
296,1537,1574,1426,1204,1518,
315,1870,1462,1648,685,1463,
314,2075,1500,2018,1111,1482,
315,648,1518,1870,667,1444,
315,1463,1463,1815,1130,1778,
296,1481,1482,1889,667,1426,
297,1760,1444,2019,1185,1648,
296,1814,1778,1407,630,1426,
315,648,1426,1500,1685,1667,
315,667,1648,1611,666,1759,
315,1500,1426,1481,1166,1444,
315,1851,1667,1481,704,1574,
315,1537,1759,2074,2500,1408,
315,1944,1444,1462,2648,1593,
315,1648,1574,1759,630,1796,
314,649,1408,1519,2537,1444,
315,1425,1593,1630,1704,1592,
315,1537,1796,1722,649,1444,
314,1704,1444,1463,648,3278,
296,1444,1592,1778,1166,1667,
315,1796,1444,1963,630,1649,
296,2037,3278,1833,666,1629,
296,1851,1667,1556,630,1444,
315,1759,1649,1593,630,1463,
315,1944,1629,1852,1130,5129,
296,1944,1444,1685,1167,1574,
297,667,1463,1649,2574,1611,
297,1648,5129,1648,1185,1611,
315,1778,1574,1667,648,1666,
315,1463,1611,1463,2463,1426,
315,1741,1611,1463,648,1445,
315,2240,1666,1426,1167,1425,
315,1148,1426,1796,2666,1407,
315,2018,1445,1445,648,1648,
315,648,1425,1445,685,1445,
315,2241,1407,1481,648,1593,
297,1130,1648,1482,630,1444,
315,1481,1445,1814,648,1426,
315,1907,1593,1851,666,1426,
315,1796,1444,1630,1130,1426,
315,2741,1426,1704,2518,1426,
315,1148,2463,1462,1148,1445,
315,1500,1426,1500,648,1463,
315,1167,1426,1704,630,1444,
315,1648,1426,1963,648,1407,
315,1537,3556,1759,2667,1648,
314,1352,1445,1444,648,3333,
315,1426,1463,1907,1685,1425,
315,1648,1444,1815,630,1389,
